name,total_enrollment,state,category,enrollment,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,Percentage_Enrollment
University of Central Florida,60767,Florida,Women,33482,16,Florida,49700,88600,50,16,55.09898464627182
University of Central Florida,60767,Florida,American Indian / Alaska Native,120,16,Florida,49700,88600,50,16,0.1974756035348133
University of Central Florida,60767,Florida,Asian,3343,16,Florida,49700,88600,50,16,5.501341188474007
University of Central Florida,60767,Florida,Black,6400,16,Florida,49700,88600,50,16,10.532032188523376
University of Central Florida,60767,Florida,Hispanic,13108,16,Florida,49700,88600,50,16,21.57091842611944
University of Central Florida,60767,Florida,Native Hawaiian / Pacific Islander,129,16,Florida,49700,88600,50,16,0.2122862737999243
University of Central Florida,60767,Florida,White,33293,16,Florida,49700,88600,50,16,54.78796057070449
University of Central Florida,60767,Florida,Two Or More Races,1841,16,Florida,49700,88600,50,16,3.0296048842299275
University of Central Florida,60767,Florida,Unknown,1018,16,Florida,49700,88600,50,16,1.6752513699869995
University of Central Florida,60767,Florida,Non-Resident Foreign,1515,16,Florida,49700,88600,50,16,2.493129494627018
University of Central Florida,60767,Florida,Total Minority,24941,16,Florida,49700,88600,50,16,41.043658564681486
Western Governors University,57821,Utah,Women,35024,6,Utah,54500,91500,57,9,60.57314816416181
Western Governors University,57821,Utah,American Indian / Alaska Native,360,6,Utah,54500,91500,57,9,0.6226111620345549
Western Governors University,57821,Utah,Asian,2195,6,Utah,54500,91500,57,9,3.796198612960689
Western Governors University,57821,Utah,Black,5442,6,Utah,54500,91500,57,9,9.411805399422356
Western Governors University,57821,Utah,Hispanic,4291,6,Utah,54500,91500,57,9,7.421179156361876
Western Governors University,57821,Utah,Native Hawaiian / Pacific Islander,288,6,Utah,54500,91500,57,9,0.49808892962764395
Western Governors University,57821,Utah,White,41898,6,Utah,54500,91500,57,9,72.46156240812162
Western Governors University,57821,Utah,Two Or More Races,1660,6,Utah,54500,91500,57,9,2.8709292471593364
Western Governors University,57821,Utah,Unknown,1614,6,Utah,54500,91500,57,9,2.791373376454921
Western Governors University,57821,Utah,Non-Resident Foreign,73,6,Utah,54500,91500,57,9,0.12625170785700696
Western Governors University,57821,Utah,Total Minority,14236,6,Utah,54500,91500,57,9,24.620812507566455
University of Minnesota-Twin Cities,51147,Minnesota,Women,26424,4,Minnesota,57200,104000,51,30,51.66285412634172
University of Minnesota-Twin Cities,51147,Minnesota,American Indian / Alaska Native,163,4,Minnesota,57200,104000,51,30,0.3186892681877725
University of Minnesota-Twin Cities,51147,Minnesota,Asian,3998,4,Minnesota,57200,104000,51,30,7.81668524058107
University of Minnesota-Twin Cities,51147,Minnesota,Black,1785,4,Minnesota,57200,104000,51,30,3.489940758988797
University of Minnesota-Twin Cities,51147,Minnesota,Hispanic,1544,4,Minnesota,57200,104000,51,30,3.0187498778031947
University of Minnesota-Twin Cities,51147,Minnesota,Native Hawaiian / Pacific Islander,31,4,Minnesota,57200,104000,51,30,0.0606096154222144
University of Minnesota-Twin Cities,51147,Minnesota,White,33674,4,Minnesota,57200,104000,51,30,65.83768353960154
University of Minnesota-Twin Cities,51147,Minnesota,Two Or More Races,1353,4,Minnesota,57200,104000,51,30,2.6453164408469707
University of Minnesota-Twin Cities,51147,Minnesota,Unknown,2223,4,Minnesota,57200,104000,51,30,4.346295970438149
University of Minnesota-Twin Cities,51147,Minnesota,Non-Resident Foreign,6376,4,Minnesota,57200,104000,51,30,12.466029288130292
University of Minnesota-Twin Cities,51147,Minnesota,Total Minority,8874,4,Minnesota,57200,104000,51,30,17.34999120183002
Michigan State University,50081,Michigan,Women,25767,5,Michigan,55300,100800,46,20,51.45064994708572
Michigan State University,50081,Michigan,American Indian / Alaska Native,127,5,Michigan,55300,100800,46,20,0.25358918551945847
Michigan State University,50081,Michigan,Asian,2214,5,Michigan,55300,100800,46,20,4.420838242047882
Michigan State University,50081,Michigan,Black,3196,5,Michigan,55300,100800,46,20,6.381661708032986
Michigan State University,50081,Michigan,Hispanic,1878,5,Michigan,55300,100800,46,20,3.7499251213034883
Michigan State University,50081,Michigan,Native Hawaiian / Pacific Islander,46,5,Michigan,55300,100800,46,20,0.09185120105429205
Michigan State University,50081,Michigan,White,33115,5,Michigan,55300,100800,46,20,66.12288093288872
Michigan State University,50081,Michigan,Two Or More Races,1217,5,Michigan,55300,100800,46,20,2.4300632974581178
Michigan State University,50081,Michigan,Unknown,646,5,Michigan,55300,100800,46,20,1.2899103452407101
Michigan State University,50081,Michigan,Non-Resident Foreign,7642,5,Michigan,55300,100800,46,20,15.259279966454343
